decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth
2024-09-02,2024-09-09,"AAVE,ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,LTC,NEAR,UNI,KAS,ICP,XMR,PEPE,APT,FET,XLM,ETC,STX,SUI,IMX,FIL,TAO,RENDER,AAVE,HBAR,ARB,VET,ATOM,OP,INJ",28,93.33333333333333,-0.0020833265306122446,Red,,12.745098039215685,,-3.1135133488587504e-06,-0.0478031411257482,-0.04780002761239934,-0.04472473428696622,-0.054986090416239475
2024-09-09,2024-09-16,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,UNI,LTC,NEAR,KAS,ICP,XMR,PEPE,APT,FET,ETC,XLM,SUI,POL,STX,FIL,IMX,RENDER,AAVE,HBAR,TAO,ARB,OP,VET,INJ",27,90.0,-0.0006423650793650792,Red,,19.607843137254903,,0.06575804406589222,0.05992629052864457,-0.005831753537247651,0.08071181587843879,0.011426731379124755
2024-09-16,2024-09-23,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,UNI,LTC,NEAR,KAS,ICP,FET,XMR,PEPE,APT,SUI,XLM,ETC,STX,TAO,POL,AAVE,IMX,FIL,RENDER,HBAR,INJ,ARB,OP,VET",28,93.33333333333333,0.0031671819727891156,Yellow,,43.13725490196079,,0.12170017840495428,0.08524216325420257,-0.03645801515075171,0.07376191651304786,0.11202940565023023
2024-09-23,2024-09-30,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,LTC,NEAR,UNI,SUI,KAS,FET,APT,ICP,TAO,PEPE,XMR,POL,XLM,ETC,IMX,STX,AAVE,RENDER,FIL,ARB,INJ,OP,HBAR,VET",28,93.33333333333333,0.004705714285714286,Yellow,,54.90196078431373,,0.09260684160353076,0.031827500625766246,-0.060779340977764516,0.032730500348740366,0.02972050127215997
2024-09-30,2024-10-07,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,WIF,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,NEAR,UNI,LTC,PEPE,SUI,ICP,FET,TAO,APT,KAS,POL,ETC,XLM,STX,IMX,XMR,RENDER,WIF,AAVE,FIL,OP,ARB,HBAR,INJ",28,93.33333333333333,0.00826480612244898,Green,,80.3921568627451,,-0.0774621612641334,-0.0553961499679523,0.022066011296181097,-0.043431767911664254,-0.08331304143262441
2024-10-07,2024-10-14,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,WIF,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,NEAR,UNI,SUI,LTC,TAO,APT,PEPE,ICP,FET,KAS,POL,ETC,XLM,STX,XMR,WIF,IMX,AAVE,FIL,RENDER,OP,HBAR,INJ,ARB",28,93.33333333333333,0.001885744897959184,Orange,,32.35294117647059,,-0.0035624007447403573,0.0037451465075124314,0.007307547252252789,0.00028233481691319895,0.011825040452243973
2024-10-14,2024-10-21,"AAVE,ADA,APT,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,WBT,WIF,XLM,XMR,XRP","XRP,STETH,ADA,LINK,SUI,BCH,DOT,UNI,NEAR,APT,LTC,TAO,PEPE,ICP,FET,KAS,POL,ETC,XMR,XLM,WIF,STX,IMX,AAVE,WBT,OP,RENDER,FIL,INJ,HBAR",27,90.0,0.006566158730158731,YellowGreen,,69.6078431372549,,0.0633344109376164,0.10190951841608903,0.038575107478472634,0.0976180330258607,0.11192298432662184
2024-10-21,2024-10-28,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,WBT,WIF,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,NEAR,SUI,UNI,LTC,APT,PEPE,TAO,ICP,FET,KAS,XMR,ETC,POL,XLM,STX,WIF,IMX,WBT,AAVE,FIL,OP,ARB,INJ,RENDER",27,90.0,0.007926063492063493,YellowGreen,,79.41176470588235,,-0.09200822722385922,-0.03636760245629243,0.05564062476756679,-0.014852567154980734,-0.08656935149268641
2024-10-28,2024-11-04,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,WBT,WIF,XLM,XMR,XRP","XRP,STETH,ADA,BCH,LINK,DOT,UNI,LTC,NEAR,SUI,APT,PEPE,TAO,ICP,FET,KAS,XMR,XLM,ETC,WBT,STX,POL,WIF,AAVE,IMX,FIL,ARB,OP,RENDER,INJ",27,90.0,0.005326978835978836,Yellow,,58.82352941176471,,-0.0719966048712925,0.003101969702888607,0.0750985745741811,0.012731388605612848,-0.019366674403467954
2024-11-04,2024-11-11,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,STETH,STX,SUI,TAO,TIA,UNI,WBT,WIF,XLM,XMR,XRP","XRP,STETH,ADA,BCH,LINK,SUI,DOT,LTC,NEAR,APT,UNI,PEPE,ICP,TAO,FET,XMR,WBT,KAS,XLM,ETC,POL,STX,WIF,FIL,AAVE,ARB,IMX,TIA,OP,RENDER",27,90.0,0.00601762962962963,YellowGreen,,65.68627450980392,,0.2956862334128916,0.20839548221437976,-0.08729075119851182,0.16951476631171336,0.2991171526539347
2024-11-11,2024-11-18,"AAVE,ADA,APT,ARB,BCH,DOT,ETC,FET,FIL,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,POL,RENDER,STETH,STX,SUI,TAO,TIA,UNI,WBT,WIF,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,SUI,DOT,LTC,NEAR,APT,UNI,PEPE,ICP,TAO,KAS,FET,ETC,XLM,POL,WBT,XMR,AAVE,WIF,STX,FIL,ARB,INJ,TIA,RENDER,IMX",27,90.0,0.009487100529100527,Green,,85.29411764705883,,0.11229359125625134,0.07061598085849953,-0.04167761039775181,0.11650475867726406,-0.03645783405195102
2024-11-18,2024-11-25,"ADA,APT,ARB,BCH,BONK,DOT,ETC,FET,FIL,FLOKI,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,WBT,WIF,XLM,XMR,XRP","XRP,STETH,ADA,SUI,PEPE,LINK,BCH,DOT,NEAR,LTC,APT,XLM,UNI,ICP,ETC,KAS,OM,TAO,WIF,BONK,HBAR,FET,WBT,POL,XMR,RENDER,STX,ARB,FIL,FLOKI",25,83.33333333333334,0.017817605714285714,Green,,92.15686274509804,,0.221243733503443,0.09228815607472493,-0.12895557742871808,0.09098764090743172,0.09532269146507577
2024-11-25,2024-12-02,"ADA,APT,ARB,ATOM,BCH,BONK,DOT,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,SUI,TAO,TIA,UNI,VET,WBT,WIF,XLM,XRP","XRP,ADA,STETH,XLM,DOT,LINK,BCH,SUI,PEPE,NEAR,LTC,APT,UNI,HBAR,ICP,POL,ETC,RENDER,FET,TAO,KAS,VET,BONK,ARB,WBT,FIL,ATOM,TIA,OM,WIF",26,86.66666666666667,0.014339252747252748,Green,,89.2156862745098,,0.110790439505536,0.025258637303376606,-0.0855318022021594,-0.007184835142389545,0.1009600730101643
2024-12-02,2024-12-09,"ADA,ALGO,APT,ARB,ATOM,BCH,BONK,DOT,ETC,FET,FIL,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,PEPE,POL,RENDER,STETH,STX,SUI,TAO,TIA,UNI,VET,XLM,XRP","XRP,ADA,STETH,XLM,DOT,LINK,BCH,SUI,PEPE,LTC,NEAR,HBAR,UNI,APT,ICP,ETC,POL,FET,TAO,RENDER,KAS,FIL,ALGO,ARB,VET,STX,TIA,ATOM,BONK,IMX",27,90.0,0.02169691534391534,Green,,93.13725490196079,,0.15982761478238477,0.053055148016628334,-0.10677246676575644,0.040320580379845206,0.08276913916912232
2024-12-09,2024-12-16,"AAVE,ADA,ALGO,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,ADA,STETH,LINK,DOT,XLM,HBAR,SUI,BCH,UNI,PEPE,LTC,NEAR,APT,ICP,POL,ETC,VET,FET,RENDER,TAO,FIL,KAS,ARB,AAVE,ALGO,XMR,STX,OM,ATOM",28,93.33333333333333,0.03847507653061225,Green,,96.07843137254902,,-0.0755065015002648,0.020036183252863094,0.0955426847531279,0.03443588695265287,-0.013563125379979724
